date,par
2014-12-09T07:29:32+0000,0
2014-12-09T07:32:32+0000,0
2014-12-09T07:35:32+0000,0
2014-12-09T07:38:33+0000,0
2014-12-09T07:41:33+0000,0
2014-12-09T07:44:33+0000,0
2014-12-09T07:47:33+0000,0
2014-12-09T07:50:33+0000,0
2014-12-09T07:53:34+0000,0
2014-12-09T07:56:34+0000,0
2014-12-09T07:59:34+0000,0
2014-12-09T08:02:34+0000,0
2014-12-09T08:05:34+0000,0
2014-12-09T08:08:35+0000,0
2014-12-09T08:11:35+0000,0
2014-12-09T08:14:35+0000,0
2014-12-09T08:17:35+0000,0
2014-12-09T08:20:36+0000,0
2014-12-09T08:23:36+0000,0
2014-12-09T08:26:36+0000,0
2014-12-09T08:29:36+0000,0
2014-12-09T08:32:36+0000,0
2014-12-09T08:35:37+0000,0
2014-12-09T08:38:37+0000,0
2014-12-09T08:41:37+0000,0
2014-12-09T08:44:37+0000,0
2014-12-09T08:47:37+0000,0
2014-12-09T08:50:38+0000,0
2014-12-09T08:53:38+0000,0
2014-12-09T08:56:38+0000,0
2014-12-09T08:59:38+0000,0
2014-12-09T09:02:39+0000,0
2014-12-09T09:05:39+0000,0
2014-12-09T09:08:39+0000,0
2014-12-09T09:11:39+0000,0
2014-12-09T09:14:39+0000,0
2014-12-09T09:17:40+0000,0
2014-12-09T09:20:40+0000,0
2014-12-09T09:23:40+0000,0
2014-12-09T09:26:40+0000,0
2014-12-09T09:29:40+0000,0
2014-12-09T09:32:41+0000,0
2014-12-09T09:35:41+0000,0
2014-12-09T09:38:41+0000,0
2014-12-09T09:41:41+0000,0
2014-12-09T09:44:41+0000,0
2014-12-09T09:47:42+0000,0
2014-12-09T09:50:42+0000,0
2014-12-09T09:53:42+0000,0
2014-12-09T09:56:42+0000,0
2014-12-09T09:59:42+0000,0
2014-12-09T10:02:43+0000,0
2014-12-09T10:05:43+0000,0
2014-12-09T10:08:43+0000,0
2014-12-09T10:11:43+0000,0
2014-12-09T10:14:43+0000,0
2014-12-09T10:17:43+0000,0
2014-12-09T10:20:44+0000,0
2014-12-09T10:23:44+0000,0
2014-12-09T10:26:44+0000,0
2014-12-09T10:29:44+0000,0
2014-12-09T10:32:44+0000,0
2014-12-09T10:35:45+0000,0
2014-12-09T10:38:45+0000,0
2014-12-09T10:41:45+0000,0
2014-12-09T10:44:45+0000,0
2014-12-09T10:47:45+0000,0
2014-12-09T10:50:46+0000,0
2014-12-09T10:53:46+0000,0
2014-12-09T10:56:46+0000,0
2014-12-09T10:59:46+0000,0
2014-12-09T11:02:46+0000,0
2014-12-09T11:05:47+0000,0
2014-12-09T11:08:47+0000,0
2014-12-09T11:11:47+0000,0
2014-12-09T11:14:47+0000,0
2014-12-09T11:17:48+0000,0
2014-12-09T11:20:48+0000,0
2014-12-09T11:23:48+0000,0
2014-12-09T11:26:48+0000,0
2014-12-09T11:29:48+0000,0
2014-12-09T11:32:49+0000,0
2014-12-09T11:35:49+0000,0
2014-12-09T11:38:49+0000,0
2014-12-09T11:41:49+0000,0
2014-12-09T11:44:49+0000,0
2014-12-09T11:47:50+0000,0
2014-12-09T11:50:50+0000,0
2014-12-09T11:53:50+0000,0
2014-12-09T11:56:50+0000,0
2014-12-09T11:59:51+0000,0
2014-12-09T12:02:51+0000,0
2014-12-09T12:05:51+0000,0
2014-12-09T12:08:51+0000,0
2014-12-09T12:11:51+0000,0
2014-12-09T12:14:51+0000,0
2014-12-09T12:17:52+0000,0
2014-12-09T12:20:52+0000,0
2014-12-09T12:23:52+0000,0
2014-12-09T12:26:52+0000,0
2014-12-09T12:29:53+0000,0
2014-12-09T12:32:53+0000,0
2014-12-09T12:35:53+0000,0
2014-12-09T12:38:53+0000,0
2014-12-09T12:41:53+0000,0
2014-12-09T12:44:54+0000,0
2014-12-09T12:47:54+0000,0
2014-12-09T12:50:54+0000,0
2014-12-09T12:53:54+0000,0
2014-12-09T12:56:54+0000,0
2014-12-09T12:59:55+0000,0
2014-12-09T13:02:55+0000,0
2014-12-09T13:05:55+0000,0
2014-12-09T13:08:55+0000,0
2014-12-09T13:11:55+0000,0
2014-12-09T13:14:56+0000,0
2014-12-09T13:17:56+0000,0
2014-12-09T13:20:56+0000,0
2014-12-09T13:23:56+0000,0
2014-12-09T13:26:56+0000,0
2014-12-09T13:29:57+0000,0
2014-12-09T13:32:57+0000,0
2014-12-09T13:35:57+0000,0
2014-12-09T13:38:57+0000,0
2014-12-09T13:41:57+0000,0
2014-12-09T13:44:58+0000,0
2014-12-09T13:47:58+0000,0
2014-12-09T13:50:58+0000,0
2014-12-09T13:53:58+0000,0
2014-12-09T13:56:58+0000,0
2014-12-09T13:59:59+0000,0
2014-12-09T14:02:59+0000,0
2014-12-09T14:05:59+0000,0
2014-12-09T14:08:59+0000,0
