ins,notch.small.D1,intersect.small.D1,notch.small.D1_2.5,intersect.small.D1_2.5,notch.small.D1_97.5,intersect.small.D1_97.5,notch.small.D2,intersect.small.D2,notch.small.D2_2.5,intersect.small.D2_2.5,notch.small.D2_97.5,intersect.small.D2_97.5,notch.large.D1,intersect.large.D1,notch.large.D1_2.5,intersect.large.D1_2.5,notch.large.D1_97.5,intersect.large.D1_97.5,notch.large.D2,intersect.large.D2,notch.large.D2_2.5,intersect.large.D2_2.5,notch.large.D2_97.5,intersect.large.D2_97.5
989,0.658,-5596.316,0.66,-6740.254,0.656,-4452.378,0.657,-5749.649,0.659,-6740.435,0.655,-4758.863,1.37,-40599.218,1.359,-43333.809,1.382,-37864.627,1.337,-38841.983,1.324,-41911.926,1.349,-35772.041
751,0.642,-2341.587,0.644,-3340.141,0.64,-1343.034,0.639,-2147.993,0.642,-3609.685,0.636,-686.301,1.91,-70197.224,1.904,-71855.378,1.915,-68539.07,2.04,-77265.011,2.034,-79155.353,2.047,-75374.67
740,0.656,3309.171,0.662,1406.662,0.65,5211.681,0.683,2359.373,0.687,907.02,0.678,3811.726,1.635,-43000.006,1.64,-49835.312,1.63,-36164.7,1.632,-42588.998,1.637,-48998.701,1.627,-36179.296
