FILE	computerUTC	DMY	HMS	LAT	LON	CONDUCTIVITY	SALINITY	OCEAN TEMP	BULK RED	STREAM PRESSURE	FILTER PRESSURE	MACHINE TEMP	Xaccel	Yaccel	Zaccel	MILLISECOND TIMER	LASER POWER	EVENT RATE	FLOW METER	position	CHL	LIGHT TRANS	ACQ ERROR	D1/D2	PAR
sds_2013_241_142	13241081818	290813	081818	2959.99606	14959.99892				45.8868	12.00	NaN	2.97	0.0212	0.0290	0.0393	435178548	319.0	10842	2.88				3.31	0.4531	
sds_2013_241_143	13241082143	290813	082142	2959.99530	14959.99982				52.8994	12.00	NaN	2.97	0.0202	0.0363	0.0283	435382792	319.0	10840	2.88				2.47	0.4481	
sds_2013_241_144	13241082511	290813	082511	2959.99533	15000.00110				47.9143	12.00	NaN	2.97	0.0272	0.0515	0.0358	435591735	319.0	10829	2.88				1.41	0.4329	
sds_2013_241_145	13241082844	290813	082844	2959.99632	14959.99723				47.1196	12.00	NaN	2.97	0.0243	0.0269	0.0306	435804780	319.0	10955	2.88				2.54	0.4419	
sds_2013_241_146	13241083214	290813	083214	2959.99604	14959.99724				46.5709	12.01	NaN	2.97	0.0243	0.0576	0.0317	436014665	319.0	10902	2.88				0.47	0.4501	
sds_2013_241_147	13241083540	290813	083540	2959.99606	14959.99987				45.9971	12.00	NaN	2.97	0.0301	0.0806	0.0384	436219986	319.0	10785	2.88				1.28	0.4250	
sds_2013_241_148	13241083912	290813	083912	2959.99405	15000.00218				45.7741	12.00	NaN	2.97	0.0233	0.0291	0.0285	436432209	319.0	10741	2.88				1.68	0.4435	
sds_2013_241_149	13241084243	290813	084243	2959.99446	15000.00691				46.2950	12.00	NaN	2.97	0.0233	0.0343	0.0363	436643846	319.0	10847	2.88				2.04	0.4393	
sds_2013_241_150	13241084617	290813	084617	2959.99543	15000.00693				46.1105	12.00	NaN	2.97	0.0252	0.0384	0.0324	436857122	319.0	10869	2.88				0.96	0.4465	
sds_2013_241_151	13241084942	290813	084941	2959.99535	15000.00710				46.0409	12.00	NaN	2.97	0.0215	0.0299	0.0322	437061758	319.0	10805	2.88				1.12	0.4504	
sds_2013_241_152	13241085309	290813	085309	2959.99486	15000.00534				45.5048	12.00	NaN	2.97	0.0215	0.0248	0.0330	437269675	319.0	10858	2.88				-0.35	0.4423	
sds_2013_241_153	13241085641	290813	085641	2959.99435	15000.00335				46.5598	12.00	NaN	2.97	0.0262	0.0584	0.0316	437481657	319.0	10895	2.88				0.95	0.4442	
sds_2013_241_154	13241090000	290813	090000	2959.99534	15000.00170				46.2913	12.00	NaN	2.97	0.0243	0.0806	0.0316	437680417	319.0	10858	2.88				0.29	0.4408	
sds_2013_241_155	13241090339	290813	090338	2959.99576	14959.99806				45.8771	12.00	NaN	2.97	0.0298	0.0440	0.0345	437898642	319.0	10806	2.88				3.17	0.4363	
sds_2013_241_156	13241090707	290813	090707	2959.99515	14959.99689				46.0593	12.00	NaN	2.97	0.0222	0.0197	0.0337	438107261	319.0	10857	2.88				3.36	0.4404	
sds_2013_241_157	13241091028	290813	091028	2959.99414	15000.00122				45.9259	12.00	NaN	2.97	0.0201	0.0228	0.0366	438308432	319.0	10970	2.88				1.83	0.4393	
sds_2013_241_158	13241091359	290813	091359	2959.99429	15000.00334				46.1638	12.00	NaN	2.97	0.0209	0.0356	0.0333	438519426	319.0	10893	2.88				3.91	0.4352	
sds_2013_241_159	13241091725	290813	091725	2959.99370	15000.00399				48.5546	12.00	NaN	2.97	0.0219	0.0418	0.0342	438725633	319.0	10958	2.88				3.96	0.4369	
sds_2013_241_160	13241092053	290813	092053	2959.99424	15000.00351				45.2206	12.00	NaN	2.97	0.0227	0.0277	0.0353	438932910	319.0	10984	2.88				1.47	0.4683	
sds_2013_241_161	13241092433	290813	092433	2959.99407	15000.00113				45.0499	12.00	NaN	2.97	0.0230	0.0350	0.0376	439152942	319.0	11012	2.88				4.37	0.4745	
sds_2013_241_162	13241092757	290813	092757	2959.99532	14959.99734				46.4267	12.00	NaN	2.97	0.0196	0.0251	0.0278	439282938	319.0	10958	2.88				3.83	0.4542	
sds_2013_241_163	13241093136	290813	093136	2959.99529	14959.99297				45.2867	12.00	NaN	2.97	0.0252	0.0277	0.0385	439502149	319.0	10953	2.88				5.33	0.4778	
sds_2013_241_164	13241093505	290813	093504	2959.99490	14959.99065				47.5717	12.00	NaN	2.97	0.0206	0.0571	0.0330	439710865	319.0	11008	2.88				4.06	0.4855	
sds_2013_241_165	13241093845	290813	093844	2959.99392	14959.99246				45.2990	12.00	NaN	2.97	0.0265	0.0406	0.0343	439930847	319.0	11040	2.88				1.08	0.5045	
sds_2013_241_166	13241094212	290813	094211	2959.99249	14959.99629				44.8121	12.00	NaN	2.97	0.0254	0.0275	0.0351	440137882	319.0	11058	2.88				3.80	0.4777	
sds_2013_241_167	13241094532	290813	094532	2959.99255	15000.00161				46.7202	12.00	NaN	2.97	0.0265	0.0379	0.0346	440338304	319.0	10978	2.88				2.87	0.5006	
sds_2013_241_168	13241094902	290813	094902	2959.99204	15000.00073				45.1540	12.00	NaN	2.97	0.0285	0.0864	0.0364	440548355	319.0	10885	2.88				1.35	0.4739	
sds_2013_241_169	13241095228	290813	095227	2959.99190	15000.00044				47.1764	12.00	NaN	2.97	0.0259	0.0605	0.0324	440753873	319.0	10999	2.88				2.46	0.4685	
sds_2013_241_170	13241095557	290813	095557	2959.99189	15000.00254				46.0634	12.00	NaN	2.97	0.0252	0.0435	0.0345	440963220	319.0	11008	2.88				1.39	0.4801	
sds_2013_241_171	13241095926	290813	095926	2959.99149	15000.00393				44.4874	12.00	NaN	2.97	0.0259	0.0298	0.0387	441172864	319.0	10993	2.88				3.20	0.4531	
sds_2013_241_172	13241100258	290813	100258	2959.99092	15000.00690				45.7572	11.98	NaN	2.97	0.0240	0.0406	0.0351	441384705	319.0	10967	2.88				4.43	0.4612	
sds_2013_241_173	13241100620	290813	100620	2959.98965	15000.01175				45.7704	12.02	NaN	2.97	0.0230	0.0350	0.0296	441586700	319.0	10986	2.88				2.54	0.4447	
sds_2013_241_174	13241100953	290813	100953	2959.98981	15000.01434				46.5598	12.00	NaN	2.97	0.0400	0.1212	0.0392	441799666	319.0	10957	2.88				0.83	0.4460	
sds_2013_241_175	13241101322	290813	101322	2959.99017	15000.01632				45.3304	12.00	NaN	2.97	0.0293	0.0476	0.0320	442008224	319.0	10999	2.88				3.51	0.4387	
sds_2013_241_176	13241101655	290813	101655	2959.98861	15000.01914				45.9301	12.00	NaN	2.97	0.0217	0.0309	0.0264	442221010	319.0	10950	2.88				4.59	0.4229	
sds_2013_241_177	13241102021	290813	102021	2959.98887	15000.02133				45.4456	12.00	NaN	2.97	0.0251	0.0392	0.0400	442427388	319.0	10866	2.88				3.17	0.4438	
sds_2013_241_178	13241102350	290813	102350	2959.98745	15000.02514				45.9222	12.00	NaN	2.97	0.0280	0.0419	0.0320	442636011	319.0	10880	2.88				4.25	0.4193	
sds_2013_241_179	13241102726	290813	102726	2959.98717	15000.02848				44.7519	12.00	NaN	2.97	0.0240	0.0452	0.0350	442851928	319.0	11075	2.88				2.59	0.4086	
sds_2013_241_180	13241103050	290813	103050	2959.98700	15000.03302				45.9926	12.00	NaN	2.97	0.0233	0.0282	0.0314	443056028	319.0	11131	2.88				4.30	0.4275	
sds_2013_241_181	13241103411	290813	103411	2959.98792	15000.03313				45.8390	12.00	NaN	2.97	0.0267	0.0445	0.0333	443257549	319.0	11144	2.88				3.92	0.4241	
sds_2013_241_182	13241103732	290813	103732	2959.98786	15000.03104				45.1792	12.00	NaN	2.97	0.0270	0.0392	0.0393	443458464	319.0	11132	2.88				5.36	0.4143	
sds_2013_241_183	13241104102	290813	104101	2959.98883	15000.02872				45.3939	12.00	NaN	2.97	0.0301	0.0335	0.0304	443667871	319.0	11181	2.88				1.25	0.4314	
sds_2013_241_184	13241104427	290813	104427	2959.98931	15000.02455				45.2039	12.00	NaN	2.97	0.0254	0.0335	0.0316	443873331	319.0	11199	2.88				4.21	0.4408	
sds_2013_241_185	13241104755	290813	104754	2959.98805	15000.01879				45.8702	12.00	NaN	2.97	0.0206	0.0285	0.0298	444080874	319.0	11128	2.88				3.80	0.4272	
sds_2013_241_186	13241105120	290813	105120	2959.98719	15000.01646				45.1502	12.00	NaN	2.97	0.0217	0.0516	0.0298	444286189	319.0	11146	2.88				4.81	0.4545	
sds_2013_241_187	13241105444	290813	105443	2959.98896	15000.01645				45.7139	12.00	NaN	2.97	0.0259	0.0500	0.0343	444489842	319.0	11152	2.88				5.17	0.4270	
sds_2013_241_188	13241105807	290813	105807	2959.98876	15000.01609				46.4715	12.00	NaN	2.97	0.0275	0.0714	0.0359	444693251	319.0	11196	2.88				3.81	0.4198	
sds_2013_241_189	13241110136	290813	110136	2959.98805	15000.01470				47.3391	12.00	NaN	2.97	0.0261	0.0426	0.0327	444902478	319.0	11199	2.88				4.12	0.4325	
sds_2013_241_190	13241110458	290813	110458	2959.98906	15000.00954				45.3776	12.00	NaN	2.97	0.0296	0.0630	0.0371	445104695	319.0	11140	2.88				3.31	0.4335	
sds_2013_241_191	13241110828	290813	110828	2959.98884	15000.00292				44.4512	12.00	NaN	2.97	0.0249	0.0340	0.0333	445314235	319.0	11215	2.88				6.48	0.4384	
sds_2013_241_192	13241111159	290813	111159	2959.98895	14959.99687				45.8890	12.00	NaN	2.97	0.0240	0.0233	0.0361	445525495	319.0	11131	2.88				1.94	0.4246	
sds_2013_241_193	13241111518	290813	111518	2959.98792	14959.99197				46.2018	12.00	NaN	2.97	0.0274	0.0264	0.0374	445724431	319.0	11160	2.88				4.97	0.4429	
sds_2013_241_194	13241111846	290813	111846	2959.98834	14959.99073				44.5835	12.00	NaN	2.97	0.0222	0.0311	0.0343	445932639	319.0	11134	2.88				5.98	0.4363	
sds_2013_241_195	13241112215	290813	112215	2959.98927	14959.99116				45.7364	12.00	NaN	2.97	0.0257	0.0599	0.0385	446141310	319.0	11224	2.88				5.43	0.4521	
